Park,Prov/State,Country,Adults,Child,partySize,Booking Type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permits
Graves Island,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,09/20/2013,09/22/2013,2,1
Valleyview,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,08/12/2013,08/13/2013,1,1
Five Islands,NS,CANADA,1,1,2,CampsitePermit,Full,Single Tent,08/02/2013,08/03/2013,1,1
Graves Island,NS,CANADA,1,1,2,CampsitePermit,Full,Single Tent,07/20/2013,07/21/2013,1,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/20/2013,08/21/2013,1,1
Mira River,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,06/27/2013,06/28/2013,1,1
Thomas Raddall,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,07/12/2013,07/14/2013,2,1
Ellenwood Lake,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,06/14/2013,06/16/2013,2,1
Laurie,QC,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/15/2013,08/16/2013,1,1
Laurie,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/21/2013,06/22/2013,1,1
Cape Chignecto,NS,CANADA,3,,3,CampsitePermit,Full,Single Tent,08/15/2013,08/17/2013,2,1
Five Islands,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,08/31/2013,09/01/2013,1,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/03/2013,08/04/2013,1,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/03/2013,08/04/2013,1,1
Porters Lake,NS,CANADA,4,,4,CampsitePermit,Full,Tents,05/19/2013,05/20/2013,1,1
Graves Island,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/12/2013,07/14/2013,2,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/18/2013,07/19/2013,1,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,10/03/2013,10/04/2013,1,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,09/06/2013,09/08/2013,2,1
Whycocomagh,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,07/19/2013,07/20/2013,1,1
Smileys,NS,CANADA,6,,6,CampsitePermit,Full,Tents,07/20/2013,07/21/2013,1,1
Smileys,NS,CANADA,6,,6,CampsitePermit,Full,Tents,07/20/2013,07/21/2013,1,1
Battery,NS,CANADA,2,,2,CampsitePermit,Senior,Single Tent,07/24/2013,07/25/2013,1,1
