Park,State,Country,Adult,Children,partySize,Booking type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permit
Ellenwood Lake,NS ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,08/01/2015,08/02/2015,1,1
Dollar Lake,NS ,CANADA ,3,2,5,CampsitePermit,Full,Tents,08/16/2015,08/20/2015,4,1
Rissers Beach,NS ,CANADA ,3,1,4,CampsitePermit,Senior,Less than 40ft,07/05/2015,07/08/2015,3,1
Graves Island,NB ,CANADA ,6,,6,CampsitePermit,Full,Tents,07/03/2015,07/05/2015,2,1
Porters Lake,BC ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,08/05/2015,08/07/2015,2,1
Laurie,QC ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,07/12/2015,07/13/2015,1,1
Smileys,NS ,CANADA ,1,2,3,CampsitePermit,Full,Less than 20ft,08/14/2015,08/15/2015,1,1
Graves Island,AB ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/03/2015,08/06/2015,3,1
Battery,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/18/2015,06/19/2015,1,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/01/2015,07/03/2015,2,1
Valleyview,BC ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,07/31/2015,08/09/2015,9,1
Blomidon,QC ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/29/2015,07/30/2015,1,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/28/2015,08/30/2015,2,1
Salsman,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/29/2015,07/30/2015,1,1
Rissers Beach,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,08/07/2015,08/09/2015,2,1
Five Islands,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/12/2015,06/15/2015,3,1
Salsman,BC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/19/2015,08/21/2015,2,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,06/27/2015,06/30/2015,3,1
Graves Island,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,09/06/2015,09/07/2015,1,1
